b5ecb066-7ebd-4c7e-8a17-27beeaea133e,28.02,Развитие органического мира (филогенез). Эволюционная биология
1c7718d0-6485-40aa-91d2-f2b965165666,28.03,Индивидуальное развитие организма (онтогенез). Биология развития
23ca95d7-d387-409f-a6b8-2735d4f55fa7,28.04,Общая генетика
65306a38-b40d-4c3a-b13b-ea258c3c4f56,28.05,Общая цитология
6ee1172b-396d-498c-a87d-1b7ae7b98eed,28.06,Общая морфология. Общая гистология
7d74d878-050d-4513-a43d-60dca8b9b8c0,28.07,"Физико-химическая биология. Общая биофизика, биохимия и физиология. Иммунология"
45089368-0ffb-4373-8630-eb4deee788ca,28.070,Физико-химическая биология
b247340d-15c0-43b2-a8b9-e9a3a0f3e3e0,28.071,Общая биофизика
50bfb64f-4e90-48d2-870f-e3396d6186d5,28.072,Общая биохимия
2de73839-1bbc-449f-a616-df581e1da96e,28.073,Общая физиология
406c0f24-917c-447a-86d9-9ddcf4a1c469,28.074,Иммунология
d554709b-3f26-490b-a57d-bd74f22e2e51,28.08,"Общая экология, паразитология и биогеография. Прикладная биология"
1e533a32-c5f8-43a2-808d-b8311c101d54,28.080,Общая экология
81ecff21-b5c2-4bec-b6b3-8782d39298cd,28.080.1,Факториальная экология
d57005a8-b365-41cf-aa33-6c1c9dc01895,28.080.3,Экология надорганизменных биосистем
e893f131-e2db-42f7-8347-b5ff30b817bd,28.082,Гидробиология
7da2806c-8f91-4845-9ba4-0f6b043ea5d3,28.083,Паразитология
d6da58b3-e955-4c92-992e-bc96388c83df,28.085,Биогеография
d3496149-4e44-4b28-9147-1bbb0098252a,28.087,Прикладная биология
85da9f12-d7b6-4dc3-a3d1-a543c99d316e,28.088,Охрана живой природы
f4d6ef5c-3350-4463-828f-f2c93afe35bf,28.088л6,Заповедники. Заказники. Национальные парки
0963da74-3b98-4db7-81cb-3c1672c0c546,28.089,Космическая биология
4c8fd3d5-d640-47fc-abd4-3971f0a95dfe,28.09,Общая систематика
a0201c6d-b221-45a8-b14e-dc59962f4360,28.1,Палеонтология
761cd002-5380-44c0-b4d3-5e665417d63e,28.3,Вирусология
6415ce5a-5d89-474a-9173-d502fb50b946,28.4,Микробиология
c3d2b262-9122-449f-a720-60596999c5a4,28.5,Ботаника
518d8157-1f0a-44c6-8412-f2175d0a9e2a,28.5л6,Ботанические сады
ef4e2f90-5b0d-4e75-b760-5a26cf26ad30,28.5с,Техника и организация ботанических исследований
17aec205-85a0-4228-af08-7891c0935b9f,28.52,Происхождение и эволюция растений (филогенез). Эволюционная биология растений
34ffd8a2-50a5-40e5-9790-e92ccef1016c,28.53,Индивидуальное развитие растений (онтогенез). Биология развития растений
506429a9-f4e5-4ff8-8897-6e7d28b332ac,28.54,Генетика растений
6f7ae81a-f2ad-4a4d-9651-02e74dce2aaa,28.55,Цитология растений
d954e50a-ae24-4085-876d-dba9eb7daa74,28.56,"Морфология, анатомия и гистология растений"
09dcf460-87bd-4d04-abab-d4db7826b7a0,28.57,"Биофизика, биохимия, физиология и иммунология растений"
3a1bd242-9778-451b-9820-33b223e98ff8,28.58,Экология и география растений. Охрана растений
a0a59f70-7f0d-498a-b798-14c7b6072580,28.588,Охрана растений
97f6c5d6-9cc1-491e-ba77-1f73cb5e9dda,28.59,Систематика растений
91e99097-17a7-4170-b2a2-b9da4aaaab88,28.591,Низшие растения
